date,open,close,high,low,volume,code
2015-09-21,6.408,6.988,7.027,6.388,132262.0,002682
2015-09-22,6.982,6.962,7.118,6.786,152192.0,002682
2015-09-23,6.799,6.819,6.955,6.649,123237.0,002682
2015-09-24,6.858,7.04,7.105,6.858,117989.0,002682
2015-09-25,6.975,6.669,7.105,6.525,126224.0,002682
2015-09-28,6.682,6.897,6.936,6.506,88724.0,002682
2015-09-29,6.747,7.008,7.145,6.662,142698.0,002682
2015-09-30,7.053,7.268,7.477,7.053,168752.0,002682
2015-10-08,7.464,7.594,7.686,7.301,171505.0,002682
2015-10-09,7.588,7.601,7.633,7.418,152434.0,002682
2015-10-12,7.64,8.122,8.279,7.607,195587.0,002682
2015-10-13,8.051,8.272,8.318,7.92,181208.0,002682
2015-10-14,8.201,7.959,8.272,7.953,159845.0,002682
2015-10-15,7.901,8.429,8.52,7.901,213056.0,002682
2015-10-16,8.474,8.559,8.702,8.22,227842.0,002682
2015-10-19,8.598,8.944,9.126,8.416,328946.0,002682
2015-10-20,8.924,9.837,9.837,8.716,300779.0,002682
2015-10-21,9.961,9.517,10.215,9.133,433225.0,002682
2015-10-22,9.263,10.463,10.463,9.191,460850.0,002682
2015-10-23,10.319,10.971,11.44,9.974,399958.0,002682
2015-10-26,10.971,10.521,11.004,10.469,253673.0,002682
2015-10-27,10.313,10.176,10.456,9.55,242704.0,002682
2015-10-28,9.941,9.745,10.436,9.596,172072.0,002682
2015-10-29,9.961,9.772,10.039,9.648,130149.0,002682
2015-10-30,9.778,9.589,9.882,9.309,134657.0,002682
2015-11-02,9.322,9.335,9.876,9.178,127800.0,002682
2015-11-03,9.452,9.465,9.55,9.276,101761.0,002682
2015-11-04,9.765,10.41,10.41,9.667,233926.0,002682
2015-11-05,10.56,10.247,10.932,10.117,305296.0,002682
2015-11-06,10.091,10.45,10.626,10.084,203610.0,002682
2015-11-09,10.43,10.306,10.489,9.961,173484.0,002682
2015-11-10,10.234,10.384,10.489,10.111,167130.0,002682
2015-11-11,10.41,10.821,10.88,10.3,242204.0,002682
2015-11-12,10.828,10.476,10.86,10.3,214768.0,002682
2015-11-13,10.247,9.902,10.378,9.837,156626.0,002682
2015-11-16,9.68,10.143,10.163,9.563,106252.0,002682
2015-11-17,10.247,10.365,10.671,10.176,184255.0,002682
2015-11-18,10.352,10.495,10.743,10.208,216337.0,002682
2015-11-19,10.521,10.684,10.697,10.3,204828.0,002682
2015-11-20,10.723,11.154,11.154,10.502,285683.0,002682
2015-11-23,11.245,11.101,11.525,11.023,269646.0,002682
2015-11-24,11.01,10.978,11.049,10.626,145068.0,002682
2015-11-25,10.978,11.356,11.401,10.925,176451.0,002682
2015-11-26,11.382,11.506,11.845,11.212,221767.0,002682
2015-11-27,11.401,10.358,11.408,10.358,200668.0,002682
2015-11-30,10.313,10.065,10.489,9.524,166587.0,002682
2015-12-01,10.065,10.058,10.358,9.961,109010.0,002682
2015-12-02,10.169,9.974,10.287,9.198,104075.0,002682
2015-12-03,10.052,10.267,10.28,9.908,84717.0,002682
2015-12-04,10.234,10.097,10.345,10.045,96154.0,002682
2015-12-07,9.974,10.273,10.41,9.974,84389.0,002682
2015-12-08,10.273,10.417,10.756,10.176,173544.0,002682
2015-12-09,10.332,10.254,10.684,10.221,114801.0,002682
2015-12-10,10.221,10.319,10.528,9.98,109171.0,002682
2015-12-11,10.267,10.137,10.45,10.104,65372.0,002682
2015-12-14,9.908,10.319,10.365,9.908,61287.0,002682
2015-12-15,10.436,10.573,10.671,10.28,99608.0,002682
2015-12-16,10.58,10.802,10.945,10.502,131334.0,002682
2015-12-17,10.893,11.01,11.212,10.815,138443.0,002682
2015-12-18,11.186,11.017,11.33,10.88,120611.0,002682
2015-12-21,10.984,11.16,11.245,10.906,103516.0,002682
2015-12-22,11.323,12.275,12.275,11.323,317676.0,002682
2015-12-23,12.255,12.073,12.431,11.929,262149.0,002682
2015-12-24,11.89,11.623,12.034,11.199,169001.0,002682
2015-12-25,11.571,11.747,11.818,11.408,108893.0,002682
2015-12-28,11.903,11.538,12.21,11.44,178984.0,002682
2015-12-29,11.668,12.06,12.125,11.167,125942.0,002682
2015-12-30,12.262,12.483,12.633,11.994,189085.0,002682
2015-12-31,12.516,11.91,12.516,11.871,114298.0,002682
2016-01-04,11.734,10.717,11.831,10.717,110501.0,002682
2016-01-05,9.719,10.026,10.43,9.648,157237.0,002682
2016-01-06,10.104,10.202,10.247,9.817,112410.0,002682
2016-01-07,9.974,9.185,9.98,9.185,27254.0,002682
2016-01-08,9.289,8.826,9.517,8.377,127393.0,002682
2016-01-11,8.526,7.946,8.598,7.946,98655.0,002682
2016-01-12,7.816,7.862,8.031,7.503,94473.0,002682
2016-01-13,7.927,7.268,8.051,7.092,83977.0,002682
2016-01-14,7.027,7.627,7.718,6.877,97506.0,002682
