time,ping,shangzhang,xiadie,shangzhanglv,zhangting,kaiban,dieting,fengbanlv,zhangdietingbi,lianbanshu,maxlimitmarket,y_lianbankaipanavg,y_lianbanavg,y_shangzhanglv
2017-12-29 00:00:00,805,2313,400,0.6574758385446277,19,15,9,0.4411764705882353,2.111111111111111,2,002916,0,0,0
2018-01-02 00:00:00,741,2501,276,0.7109152927799887,25,25,3,0.5,8.333333333333334,3,002915,0.10394924446247658,0.2769931897885156,0.6190476190476191
2018-01-03 00:00:00,812,2283,423,0.6489482660602615,39,25,2,0.390625,19.5,3,600903,0.1920676864978222,0.14358456509417236,0.5384615384615384
2018-01-04 00:00:00,1329,1316,873,0.374076179647527,30,26,2,0.4642857142857143,15.0,3,601360,0.30916806721552353,0.21256423581843725,0.575
2018-01-05 00:00:00,834,1533,1151,0.4357589539511086,17,28,1,0.6222222222222222,17.0,3,300675,0.16831380282099714,0.08287588817403956,0.5
2018-01-08 00:00:00,747,1445,1326,0.4107447413303013,27,31,0,0.5344827586206896,1,3,000732,0.2828614680142768,0.43672125381745586,0.7647058823529411
2018-01-09 00:00:00,884,1290,1344,0.36668561682774303,25,20,0,0.4444444444444444,1,3,002907,0.29771634901905064,0.3367869168765117,0.7037037037037037
2018-01-10 00:00:00,638,751,2129,0.21347356452529848,36,20,0,0.35714285714285715,1,4,002907,0.19652353003990658,0.3092805936736156,0.5384615384615384
2018-01-11 00:00:00,516,2114,888,0.6009096077316657,45,24,0,0.34782608695652173,1,5,002907,0.35928431519628173,0.425373660479811,0.7027027027027027
2018-01-12 00:00:00,1306,1015,1197,0.2885162023877203,26,33,4,0.559322033898305,6.5,5,603283,0.2978641317550908,0.18803852463996343,0.5319148936170213
2018-01-15 00:00:00,437,444,2637,0.12620807276861853,22,19,24,0.4634146341463415,0.9166666666666666,4,600903,0.10273984760603663,0.211367136361023,0.5862068965517241
2018-01-16 00:00:00,367,2210,941,0.6281978396816373,52,27,2,0.34177215189873417,26.0,5,600903,0.369758479341295,0.5811855149258913,0.782608695652174
2018-01-17 00:00:00,955,1718,845,0.48834565093803295,34,38,17,0.5277777777777778,2.0,6,300684,0.33739033922903283,0.08219662227838168,0.5849056603773585
2018-01-18 00:00:00,1050,1505,963,0.42779988629903354,31,16,3,0.3404255319148936,10.333333333333334,7,300684,0.13503769125198675,0.10808459854190096,0.4358974358974359
2018-01-19 00:00:00,934,1237,1347,0.3516202387720296,31,36,6,0.5373134328358209,5.166666666666667,8,300684,0.22507960546244302,0.2647176181528071,0.6571428571428571
2018-01-22 00:00:00,577,2129,812,0.6051733939738487,29,24,26,0.4528301886792453,1.1153846153846154,5,300487,0.15390010534796705,0.048348963893846866,0.5151515151515151
2018-01-23 00:00:00,1263,1563,692,0.4442865264354747,37,19,4,0.3392857142857143,9.25,5,300487,0.3021606832019792,0.16194957140961047,0.6129032258064516
2018-01-24 00:00:00,748,2104,666,0.5980670835702103,32,25,5,0.43859649122807015,6.4,5,300487,0.11304047952115097,0.05526835526633883,0.39473684210526316
2018-01-25 00:00:00,1233,1271,1014,0.36128482092097786,17,41,5,0.7068965517241379,3.4,5,300487,0.26413975558496616,0.05124619570051782,0.6363636363636364
2018-01-26 00:00:00,760,1119,1639,0.31807845366685616,17,14,5,0.45161290322580644,3.4,6,300487,-0.04060031690371724,-0.03306315963182914,0.3333333333333333
2018-01-29 00:00:00,561,701,2256,0.1992609437180216,17,17,15,0.5,1.1333333333333333,2,002190,0.19767672386865504,0.0764278555313471,0.5555555555555556
2018-01-30 00:00:00,449,1451,1618,0.41245025582717454,25,14,16,0.358974358974359,1.5625,3,002016,0.20287746733746326,0.32100800591141987,0.7222222222222222
2018-01-31 00:00:00,543,524,2451,0.1489482660602615,20,16,131,0.4444444444444444,0.15267175572519084,3,603056,0.19884700291943075,-0.12200348770700607,0.3076923076923077
2018-02-01 00:00:00,399,283,2836,0.08044343376918704,14,13,219,0.48148148148148145,0.0639269406392694,4,603056,0.28460296922019385,0.026997842152432772,0.38095238095238093
2018-02-02 00:00:00,398,1164,1956,0.33086981239340535,20,21,57,0.5121951219512195,0.3508771929824561,5,603056,0.035423089475322946,0.2763570975125806,0.6
2018-02-05 00:00:00,887,1045,1586,0.2970437748720864,23,13,61,0.3611111111111111,0.3770491803278688,3,603058,0.011807162305396175,0.048388456263615924,0.5
2018-02-06 00:00:00,662,103,2753,0.029277998862990335,7,20,459,0.7407407407407407,0.015250544662309368,2,000816,-0.11475872181370358,-0.3308416696376452,0.2
2018-02-07 00:00:00,463,2099,956,0.5966458214894826,36,42,26,0.5384615384615384,1.3846153846153846,3,000816,0.3258715132660985,0.5972174293580247,1.0
2018-02-08 00:00:00,511,2552,455,0.7254121660034111,44,35,20,0.4430379746835443,2.2,4,000816,0.18078994397638,0.3142062098238546,0.6666666666666666
2018-02-09 00:00:00,1061,234,2223,0.06651506537805571,17,16,95,0.48484848484848486,0.17894736842105263,5,000816,-0.07467772856126316,0.024169233167343176,0.4318181818181818
2018-02-12 00:00:00,431,2955,132,0.8399658897100626,80,55,6,0.4074074074074074,13.333333333333334,6,000816,0.3959641010118356,0.5608954352025053,0.9411764705882353
2018-02-13 00:00:00,1574,1535,409,0.4363274587833997,28,36,13,0.5625,2.1538461538461537,2,603716,0.3400376853326785,0.001016321190313049,0.425
2018-02-14 00:00:00,639,1777,1102,0.5051165434906196,28,15,13,0.3488372093023256,2.1538461538461537,3,600207,0.09480578448482757,-0.08483938397300726,0.25
2018-02-22 00:00:00,454,2981,83,0.8473564525298465,43,42,7,0.49411764705882355,6.142857142857143,3,600579,0.37189665265609145,0.4517682850868822,0.9285714285714286
2018-02-23 00:00:00,1138,1828,552,0.519613416714042,27,35,7,0.5645161290322581,3.857142857142857,4,600579,0.23449799683984968,0.23140676752731573,0.7209302325581395
